prov_cod,prov,comarca_cod,comarca_cod_full,comarca,comarca_es,comarca_eu
01,Araba/Álava,01,0101,Añana,Añana,Añana
01,Araba/Álava,02,0102,Arabako Lautada / Llanada Alavesa,Arabako Lautada / Llanada Alavesa,Arabako Lautada
01,Araba/Álava,03,0103,Arabako Mendialdea / Montaña Alavesa,Arabako Mendialdea / Montaña Alavesa,Arabako Mendialdea
01,Araba/Álava,04,0104,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa
01,Araba/Álava,05,0105,Gorbeialdea / Estribaciones del Gorbea,Gorbeialdea / Estribaciones del Gorbea,Gorbeialdea
01,Araba/Álava,06,0106,Arabako Kantaurialdea / Cantábrica Alavesa,Arabako Kantaurialdea / Cantábrica Alavesa,Arabako Kantaurialdea
20,Gipuzkoa,01,2001,Bidasoa Beherea / Bajo Bidasoa,Bidasoa Beherea / Bajo Bidasoa,Bidasoa Beherea
20,Gipuzkoa,02,2002,Debabarrena / Bajo Deba,Debabarrena / Bajo Deba,Debabarrena
20,Gipuzkoa,03,2003,Debagoiena / Alto Deba,Debagoiena / Alto Deba,Debagoiena
20,Gipuzkoa,04,2004,Donostialdea,Donostialdea,Donostialdea
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri
20,Gipuzkoa,06,2006,Tolosaldea,Tolosaldea,Tolosaldea
20,Gipuzkoa,07,2007,Urola Kosta,Urola Kosta,Urola Kosta
48,Bizkaia,01,4801,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi / Arratia-Nervión,Arratia-Nerbioi
48,Bizkaia,02,4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia
48,Bizkaia,03,4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea
48,Bizkaia,04,4804,Enkartazioak / Encartaciones,Enkartazioak / Encartaciones,Enkartazioak
48,Bizkaia,05,4805,Gernika-Bermeo,Gernika-Bermeo,Gernika-Bermeo
48,Bizkaia,06,4806,Markina-Ondarroa,Markina-Ondarroa,Markina-Ondarroa
48,Bizkaia,07,4807,Plentzia-Mungia,Plentzia-Mungia,Plentzia-Mungia
