prov_cod,prov,comarca_cod,comarca_cod_full,comarca,comarca_es,comarca_eu,municipio_cod,municipio_cod_full,municipio,municipio_norm
01,Araba/Álava,01,0101,Añana,Añana,Añana,006,01006,Armiñón,Armiñón
01,Araba/Álava,01,0101,Añana,Añana,Añana,049,01049,Añana,Añana
01,Araba/Álava,01,0101,Añana,Añana,Añana,014,01014,Berantevilla,Berantevilla
01,Araba/Álava,01,0101,Añana,Añana,Añana,046,01046,Erriberagoitia/Ribera Alta,Erriberagoitia / Ribera Alta
01,Araba/Álava,01,0101,Añana,Añana,Añana,020,01020,Kuartango,Kuartango
01,Araba/Álava,01,0101,Añana,Añana,Añana,902,01902,Lantarón,Lantarón
01,Araba/Álava,01,0101,Añana,Añana,Añana,047,01047,Ribera Baja/Erriberabeitia,Ribera Baja / Erriberabeitia
01,Araba/Álava,01,0101,Añana,Añana,Añana,055,01055,Valdegovía/Gaubea,Valdegovía / Gaubea
01,Araba/Álava,01,0101,Añana,Añana,Añana,062,01062,Zambrana,Zambrana
01,Araba/Álava,02,0102,Arabako Lautada / Llanada Alavesa,Arabako Lautada / Llanada Alavesa,Arabako Lautada,051,01051,Agurain/Salvatierra,Agurain / Salvatierra
01,Araba/Álava,02,0102,Arabako Lautada / Llanada Alavesa,Arabako Lautada / Llanada Alavesa,Arabako Lautada,001,01001,Alegría-Dulantzi,Alegría-Dulantzi
01,Araba/Álava,02,0102,Arabako Lautada / Llanada Alavesa,Arabako Lautada / Llanada Alavesa,Arabako Lautada,008,01008,Arratzua-Ubarrundia,Arratzua-Ubarrundia
01,Araba/Álava,02,0102,Arabako Lautada / Llanada Alavesa,Arabako Lautada / Llanada Alavesa,Arabako Lautada,009,01009,Asparrena,Asparrena
01,Araba/Álava,02,0102,Arabako Lautada / Llanada Alavesa,Arabako Lautada / Llanada Alavesa,Arabako Lautada,013,01013,Barrundia,Barrundia
01,Araba/Álava,02,0102,Arabako Lautada / Llanada Alavesa,Arabako Lautada / Llanada Alavesa,Arabako Lautada,021,01021,Elburgo/Burgelu,Elburgo / Burgelu
01,Araba/Álava,02,0102,Arabako Lautada / Llanada Alavesa,Arabako Lautada / Llanada Alavesa,Arabako Lautada,027,01027,Iruraiz-Gauna,Iruraiz-Gauna
01,Araba/Álava,02,0102,Arabako Lautada / Llanada Alavesa,Arabako Lautada / Llanada Alavesa,Arabako Lautada,901,01901,Iruña Oka/Iruña de Oca,Iruña Oka / Iruña de Oca
01,Araba/Álava,02,0102,Arabako Lautada / Llanada Alavesa,Arabako Lautada / Llanada Alavesa,Arabako Lautada,053,01053,San Millán/Donemiliaga,San Millán / Donemiliaga
01,Araba/Álava,02,0102,Arabako Lautada / Llanada Alavesa,Arabako Lautada / Llanada Alavesa,Arabako Lautada,059,01059,Vitoria-Gasteiz,Vitoria-Gasteiz
01,Araba/Álava,02,0102,Arabako Lautada / Llanada Alavesa,Arabako Lautada / Llanada Alavesa,Arabako Lautada,061,01061,Zalduondo,Zalduondo
