prov,edad,periodo,nac,prov_cod
Araba/Álava,Total,1996,2248,01
Araba/Álava,Total,1997,2226,01
Araba/Álava,Total,1998,2249,01
Araba/Álava,Total,1999,2321,01
Araba/Álava,Total,2000,2487,01
Araba/Álava,Total,2001,2436,01
Araba/Álava,Total,2002,2491,01
Araba/Álava,Total,2003,2694,01
Araba/Álava,Total,2004,2809,01
Araba/Álava,Total,2005,2792,01
Araba/Álava,Total,2006,2918,01
Araba/Álava,Total,2007,3027,01
Araba/Álava,Total,2008,3209,01
Araba/Álava,Total,2009,3224,01
Araba/Álava,Total,2010,3346,01
Araba/Álava,Total,2011,3429,01
Araba/Álava,Total,2012,3293,01
Araba/Álava,Total,2013,3099,01
Araba/Álava,Total,2014,3277,01
Araba/Álava,Total,2015,3159,01
Araba/Álava,Total,2016,3074,01
Araba/Álava,Total,2017,2961,01
Araba/Álava,Total,2018,2683,01
Araba/Álava,Total,2019,2565,01
Araba/Álava,Total,2020,2397,01
Araba/Álava,Total,2021,2368,01
Araba/Álava,Total,2022,2267,01
Araba/Álava,Total,2023,2216,01
Araba/Álava,Total,2024,2094,01
Araba/Álava,<= 15,1996,1,01
Araba/Álava,<= 15,1997,0,01
Araba/Álava,<= 15,1998,1,01
Araba/Álava,<= 15,1999,1,01
Araba/Álava,<= 15,2000,1,01
Araba/Álava,<= 15,2001,0,01
Araba/Álava,<= 15,2002,0,01
Araba/Álava,<= 15,2003,0,01
Araba/Álava,<= 15,2004,2,01
Araba/Álava,<= 15,2005,2,01
Araba/Álava,<= 15,2006,1,01
Araba/Álava,<= 15,2007,1,01
Araba/Álava,<= 15,2008,1,01
Araba/Álava,<= 15,2009,0,01
Araba/Álava,<= 15,2010,1,01
Araba/Álava,<= 15,2011,2,01
Araba/Álava,<= 15,2012,1,01
Araba/Álava,<= 15,2013,0,01
Araba/Álava,<= 15,2014,2,01
Araba/Álava,<= 15,2015,0,01
Araba/Álava,<= 15,2016,1,01
Araba/Álava,<= 15,2017,0,01
Araba/Álava,<= 15,2018,0,01
Araba/Álava,<= 15,2019,0,01
Araba/Álava,<= 15,2020,0,01
Araba/Álava,<= 15,2021,1,01
Araba/Álava,<= 15,2022,1,01
Araba/Álava,<= 15,2023,0,01
Araba/Álava,<= 15,2024,2,01
Araba/Álava,16,1996,3,01
Araba/Álava,16,1997,2,01
Araba/Álava,16,1998,1,01
Araba/Álava,16,1999,3,01
Araba/Álava,16,2000,1,01
Araba/Álava,16,2001,1,01
Araba/Álava,16,2002,5,01
Araba/Álava,16,2003,0,01
Araba/Álava,16,2004,2,01
Araba/Álava,16,2005,1,01
Araba/Álava,16,2006,2,01
Araba/Álava,16,2007,4,01
Araba/Álava,16,2008,2,01
Araba/Álava,16,2009,2,01
Araba/Álava,16,2010,1,01
Araba/Álava,16,2011,2,01
Araba/Álava,16,2012,1,01
Araba/Álava,16,2013,4,01
Araba/Álava,16,2014,3,01
Araba/Álava,16,2015,2,01
Araba/Álava,16,2016,2,01
Araba/Álava,16,2017,1,01
Araba/Álava,16,2018,2,01
Araba/Álava,16,2019,0,01
Araba/Álava,16,2020,0,01
Araba/Álava,16,2021,0,01
Araba/Álava,16,2022,1,01
Araba/Álava,16,2023,0,01
Araba/Álava,16,2024,0,01
Araba/Álava,17,1996,3,01
Araba/Álava,17,1997,2,01
Araba/Álava,17,1998,8,01
Araba/Álava,17,1999,2,01
Araba/Álava,17,2000,4,01
