prov_cod,prov,comarca_cod,comarca_cod_full,comarca,municipio_cod,municipio_cod_full,municipio,genero,edad,edad_etiqueta,pob
01,Araba/Álava,01,0101,Añana,006,01006,Armiñón,Hombres,0,0-19,32
01,Araba/Álava,01,0101,Añana,006,01006,Armiñón,Hombres,20,20-64,77
01,Araba/Álava,01,0101,Añana,006,01006,Armiñón,Hombres,65,>= 65,14
01,Araba/Álava,01,0101,Añana,006,01006,Armiñón,Hombres,NA,Total,123
01,Araba/Álava,01,0101,Añana,006,01006,Armiñón,Mujeres,0,0-19,20
01,Araba/Álava,01,0101,Añana,006,01006,Armiñón,Mujeres,20,20-64,70
01,Araba/Álava,01,0101,Añana,006,01006,Armiñón,Mujeres,65,>= 65,14
01,Araba/Álava,01,0101,Añana,006,01006,Armiñón,Mujeres,NA,Total,104
01,Araba/Álava,01,0101,Añana,006,01006,Armiñón,Total,0,0-19,52
01,Araba/Álava,01,0101,Añana,006,01006,Armiñón,Total,20,20-64,147
01,Araba/Álava,01,0101,Añana,006,01006,Armiñón,Total,65,>= 65,28
01,Araba/Álava,01,0101,Añana,006,01006,Armiñón,Total,NA,Total,227
01,Araba/Álava,01,0101,Añana,014,01014,Berantevilla,Hombres,0,0-19,49
01,Araba/Álava,01,0101,Añana,014,01014,Berantevilla,Hombres,20,20-64,163
01,Araba/Álava,01,0101,Añana,014,01014,Berantevilla,Hombres,65,>= 65,62
01,Araba/Álava,01,0101,Añana,014,01014,Berantevilla,Hombres,NA,Total,274
01,Araba/Álava,01,0101,Añana,014,01014,Berantevilla,Mujeres,0,0-19,38
01,Araba/Álava,01,0101,Añana,014,01014,Berantevilla,Mujeres,20,20-64,148
01,Araba/Álava,01,0101,Añana,014,01014,Berantevilla,Mujeres,65,>= 65,60
01,Araba/Álava,01,0101,Añana,014,01014,Berantevilla,Mujeres,NA,Total,246
01,Araba/Álava,01,0101,Añana,014,01014,Berantevilla,Total,0,0-19,87
01,Araba/Álava,01,0101,Añana,014,01014,Berantevilla,Total,20,20-64,311
01,Araba/Álava,01,0101,Añana,014,01014,Berantevilla,Total,65,>= 65,122
01,Araba/Álava,01,0101,Añana,014,01014,Berantevilla,Total,NA,Total,520
