Provincias	Ramas de actividad	Periodo	Total
02 Albacete	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	8.663.814
03 Alicante/Alacant	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	37.279.735
04 Almería	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	15.659.622
01 Araba/Álava	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	12.939.983
33 Asturias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	23.549.659
05 Ávila	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	3.300.110
06 Badajoz	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	12.723.211
07 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	30.031.668
08 Barcelona	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	173.721.885
48 Bizkaia	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	35.446.900
09 Burgos	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	10.276.704
10 Cáceres	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	7.926.526
11 Cádiz	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	22.635.742
39 Cantabria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	14.022.067
12 Castellón/Castelló	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	16.147.043
13 Ciudad Real	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	10.832.838
14 Córdoba	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	14.616.131
15 Coruña, A	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	27.347.965
16 Cuenca	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	4.594.001
20 Gipuzkoa	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	23.839.000
17 Girona	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	21.355.174
18 Granada	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	17.140.505
19 Guadalajara	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	5.502.747
21 Huelva	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	10.763.135
22 Huesca	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	6.802.388
23 Jaén	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	11.754.569
24 León	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	10.224.642
25 Lleida	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	12.558.913
27 Lugo	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	7.395.362
28 Madrid	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	237.540.292
29 Málaga	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	30.776.021
30 Murcia	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	32.719.230
31 Navarra	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	20.518.471
32 Ourense	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	7.104.228
34 Palencia	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	4.303.764
35 Palmas, Las	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	22.056.871
36 Pontevedra	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	21.988.329
26 Rioja, La	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	8.619.779
37 Salamanca	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	7.289.859
38 Santa Cruz de Tenerife	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	20.786.249
40 Segovia	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	3.460.982
41 Sevilla	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	40.657.710
42 Soria	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	2.531.565
43 Tarragona	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	24.421.364
44 Teruel	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	3.460.089
45 Toledo	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	13.258.842
46 Valencia/València	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	61.410.589
47 Valladolid	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	14.293.892
49 Zamora	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	3.582.273
50 Zaragoza	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	27.896.994
51 Ceuta	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	1.765.159
52 Melilla	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021(P)	1.616.543
