"Población de la C.A. de Euskadi por ámbitos territoriales, según grandes grupos de edad y sexo. 01/01/2025"


;"Total";;;"0  - 19";;;"20 -64";;;">= 65"
;"Total";"Hombres";"Mujeres";"Total";"Hombres";"Mujeres";"Total";"Hombres";"Mujeres";"Total";"Hombres";"Mujeres"
"Total";2.218.210;1.076.674;1.141.536;383.111;197.134;185.977;1.295.330;646.760;648.570;539.769;232.780;306.989
"Territorios Históricos"
"Araba/Álava";337.680;165.713;171.967;61.996;31.987;30.009;197.915;99.136;98.779;77.769;34.590;43.179
"Bizkaia";1.155.733;556.998;598.735;191.199;98.369;92.830;677.986;336.942;341.044;286.548;121.687;164.861
"Gipuzkoa";724.797;353.963;370.834;129.916;66.778;63.138;419.429;210.682;208.747;175.452;76.503;98.949
"Comarcas"
"Añana";6.468;3.545;2.923;998;516;482;3.963;2.197;1.766;1.507;832;675
"Arabako Errioxa  /  Rioja Alavesa";11.935;6.174;5.761;2.311;1.183;1.128;7.043;3.756;3.287;2.581;1.235;1.346
"Arabako Kantaurialdea / Cantábrica Alavesa";34.610;16.961;17.649;6.246;3.232;3.014;19.684;9.870;9.814;8.680;3.859;4.821
"Arabako Lautada  /  Llanada Alavesa   ";272.119;132.382;139.737;50.274;25.913;24.361;159.682;79.293;80.389;62.163;27.176;34.987
"Arabako Mendialdea  /  Montaña Alavesa  ";3.258;1.797;1.461;487;263;224;1.924;1.072;852;847;462;385
"Arratia-Nerbioi  /  Arratia-Nervión   ";24.402;12.285;12.117;4.594;2.385;2.209;14.271;7.358;6.913;5.537;2.542;2.995
"Bidasoa Beherea  /  Bajo Bidasoa  ";77.625;37.856;39.769;13.364;6.846;6.518;45.175;22.716;22.459;19.086;8.294;10.792
"Bilbo Handia  /  Gran Bilbao  ";865.092;413.484;451.608;138.502;71.151;67.351;507.183;250.901;256.282;219.407;91.432;127.975
"Debabarrena  /  Bajo Deba  ";55.238;27.153;28.085;10.227;5.228;4.999;31.053;15.800;15.253;13.958;6.125;7.833
"Debagoiena / Alto Deba";63.287;31.291;31.996;11.593;5.942;5.651;35.815;18.244;17.571;15.879;7.105;8.774
"Donostialdea";332.007;159.359;172.648;55.653;28.542;27.111;193.780;95.890;97.890;82.574;34.927;47.647
"Durangaldea  /  Duranguesado ";99.913;49.072;50.841;18.286;9.358;8.928;58.669;29.493;29.176;22.958;10.221;12.737
"Enkartazioak  /  Encartaciones";32.422;16.001;16.421;5.569;2.911;2.658;19.030;9.599;9.431;7.823;3.491;4.332
"Gernika-Bermeo  ";46.668;22.885;23.783;8.153;4.230;3.923;26.710;13.424;13.286;11.805;5.231;6.574
"Goierri ";68.887;34.579;34.308;13.732;7.095;6.637;39.256;20.325;18.931;15.899;7.159;8.740
"Gorbeialdea  /  Estribaciones. del Gorbea ";9.290;4.854;4.436;1.680;880;800;5.619;2.948;2.671;1.991;1.026;965
"Markina-Ondarroa ";25.608;12.944;12.664;4.287;2.228;2.059;14.648;7.653;6.995;6.673;3.063;3.610
"Plentzia-Mungia ";61.628;30.327;31.301;11.808;6.106;5.702;37.475;18.514;18.961;12.345;5.707;6.638
"Tolosaldea";50.099;24.978;25.121;9.897;5.091;4.806;29.033;14.808;14.225;11.169;5.079;6.090
"Urola Kosta  ";77.654;38.747;38.907;15.450;8.034;7.416;45.317;22.899;22.418;16.887;7.814;9.073
"Municipios"
"Abadiño";7.800;3.862;3.938;1.512;772;740;4.506;2.266;2.240;1.782;824;958
"Abaltzisketa";313;173;140;51;31;20;199;111;88;63;31;32
"Abanto y Ciérvana-Abanto Zierbena";9.353;4.634;4.719;1.464;769;695;5.749;2.924;2.825;2.140;941;1.199
"Aduna";507;267;240;125;67;58;307;163;144;75;37;38
"Agurain/Salvatierra";5.374;2.701;2.673;1.249;625;624;3.100;1.587;1.513;1.025;489;536
"Aia";2.127;1.108;1.019;502;269;233;1.230;629;601;395;210;185
"Aizarnazabal";808;416;392;182;86;96;472;250;222;154;80;74
"Ajangiz";448;231;217;73;45;28;256;133;123;119;53;66
"Albiztur";314;161;153;73;38;35;183;94;89;58;29;29
"Alegia";1.852;977;875;370;204;166;1.104;595;509;378;178;200
"Alegría-Dulantzi";3.172;1.621;1.551;721;378;343;2.022;1.035;987;429;208;221
"Alkiza";346;173;173;95;47;48;192;98;94;59;28;31
"Alonsotegi";2.970;1.472;1.498;502;256;246;1.765;907;858;703;309;394
"Altzaga";159;80;79;37;18;19;89;42;47;33;20;13
"Altzo";400;211;189;78;39;39;241;129;112;81;43;38
"Amezketa";935;480;455;180;83;97;545;287;258;210;110;100
"Amorebieta-Etxano";19.229;9.355;9.874;3.660;1.867;1.793;11.360;5.659;5.701;4.209;1.829;2.380
"Amoroto";380;209;171;61;40;21;223;118;105;96;51;45
"Amurrio";10.442;5.143;5.299;2.021;1.065;956;5.846;2.926;2.920;2.575;1.152;1.423
"Andoain";14.732;7.364;7.368;2.708;1.377;1.331;8.401;4.384;4.017;3.623;1.603;2.020
"Anoeta";2.163;1.118;1.045;461;256;205;1.251;654;597;451;208;243
"Antzuola";2.123;1.041;1.082;443;212;231;1.201;612;589;479;217;262
"Añana";170;101;69;16;6;10;102;65;37;52;30;22
"Arakaldo";170;76;94;32;9;23;117;60;57;21;7;14
"Arama";181;84;97;37;19;18;104;47;57;40;18;22
"Aramaio";1.389;706;683;259;131;128;783;398;385;347;177;170
"Arantzazu";434;232;202;79;44;35;268;149;119;87;39;48
"Areatza";1.277;606;671;264;132;132;762;369;393;251;105;146
"Aretxabaleta";7.183;3.559;3.624;1.397;737;660;4.109;2.085;2.024;1.677;737;940
"Armiñón";227;123;104;52;32;20;147;77;70;28;14;14
"Arraia-Maeztu";817;446;371;163;89;74;458;243;215;196;114;82
"Arrankudiaga";1.043;516;527;211;107;104;614;310;304;218;99;119
"Arrasate/Mondragón";22.251;10.918;11.333;3.855;1.976;1.879;12.493;6.350;6.143;5.903;2.592;3.311
"Arratzu";408;192;216;68;29;39;221;105;116;119;58;61
"Arratzua-Ubarrundia";1.089;568;521;195;101;94;635;336;299;259;131;128
"Arrieta";575;293;282;79;40;39;369;196;173;127;57;70
"Arrigorriaga";11.680;5.653;6.027;2.035;1.003;1.032;7.113;3.538;3.575;2.532;1.112;1.420
"Artea";752;384;368;137;75;62;426;221;205;189;88;101
"Artzentales";746;380;366;113;57;56;436;222;214;197;101;96
"Artziniega";1.933;950;983;383;191;192;1.152;582;570;398;177;221
"Asparrena";1.646;815;831;247;121;126;1.012;510;502;387;184;203
"Asteasu";1.527;785;742;303;146;157;951;497;454;273;142;131
"Astigarraga";7.665;3.875;3.790;1.878;967;911;4.749;2.414;2.335;1.038;494;544
"Ataun";1.723;895;828;410;216;194;926;494;432;387;185;202
"Atxondo";1.346;675;671;217;107;110;758;392;366;371;176;195
"Aulesti";638;322;316;111;59;52;346;174;172;181;89;92
"Ayala/Aiara";2.882;1.451;1.431;582;303;279;1.745;864;881;555;284;271
"Azkoitia";12.084;6.084;6.000;2.540;1.291;1.249;7.024;3.613;3.411;2.520;1.180;1.340
"Azpeitia";15.431;7.805;7.626;3.160;1.683;1.477;8.787;4.491;4.296;3.484;1.631;1.853
"Bakio";2.868;1.406;1.462;528;258;270;1.769;882;887;571;266;305
"Baliarrain";159;84;75;51;29;22;92;47;45;16;8;8
