"Tasa de actividad de la población de 16 y más años de la C.A. de Euskadi, por trimestre, según edad y sexo (%) (1). I/2026"


;"Total";;;"16-24 años";;;"25-44 años";;;"45 y más años"
;"Total";"Hombres";"Mujeres";"Total";"Hombres";"Mujeres";"Total";"Hombres";"Mujeres";"Total";"Hombres";"Mujeres"
2025
"I";56,1;60,4;52,2;34,3;35,7;32,9;87,8;91,1;84,5;47,5;52,3;43,2
"II";56,2;60,3;52,5;32,4;33,4;31,3;88,9;91,6;86,2;47,6;52,4;43,4
"III";56,5;60,8;52,6;34,9;37,0;32,5;88,2;92,0;84,5;47,8;52,3;43,8
"IV";56,4;60,3;52,8;32,5;34,3;30,6;89,0;91,5;86,5;47,6;52,0;43,7
2026
"I";56,4;60,3;52,8;33,0;35,6;30,1;89,4;92,5;86,4;47,5;51,5;44,0

2021;56,2;60,9;51,9;30,3;31,6;28,9;87,8;91,2;84,5;46,6;51,8;42,0
2022;56,5;61,3;52,1;31,6;34,0;29,1;88,3;91,5;85,1;47,1;52,6;42,4
2023;56,2;60,9;52,0;31,5;34,0;28,9;87,9;90,5;85,4;47,5;52,8;42,8
2024;56,7;61,3;52,4;34,3;36,1;32,4;88,3;91,6;85,0;47,8;53,0;43,2
2025;56,3;60,4;52,5;33,5;35,1;31,8;88,5;91,6;85,4;47,6;52,3;43,5

"(1) Los datos del año en curso son provisionales y los del año anterior han sido revisados con la actualización de la población con base 1 de enero de ese año."

"Fuente: Eustat. Encuesta de población en relación con la actividad"

